content_id,queue_score,model_score,action_label,reason_code,days_since_last_update,impressions_90d,avg_position,ctr,engagement_rate,is_down
content_db5b1421e928,6.422139771412025,0.769057172977303,REVIEW_REFRESH,STALE_VISIBLE,104,4232,3.6,0.14,0.0,1
content_c7d15ce0c936,6.421786604266901,0.6885050570078849,NO_ACTION,FRESH_LOW_RISK,20,11238,2.1,0.28,0.0,1
content_65668a45a72d,6.418204096810304,0.6416385034946666,REVIEW_REFRESH,STALE_VISIBLE,104,22088,7.5,0.04,0.95,1
content_9558f7d085c2,6.417043396906435,0.7974583641708902,REVIEW_REFRESH,STALE_VISIBLE,104,3123,2.4,0.06,0.0,1
content_46c51f46d26c,6.415795627714417,0.675441311180614,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,20,13341,3.9,0.01,0.0,1
content_73e60bb3846d,6.414137571380006,0.6862458376746321,REVIEW_REFRESH,STALE_VISIBLE,104,11460,30.8,0.02,1.27,1
content_d752cd3da794,6.413282083430935,0.6725971529502169,REVIEW_REFRESH,STALE_VISIBLE,104,13836,38.9,0.05,0.31,1
content_790e7ee92d5f,6.40999176475274,0.6846356494553065,REVIEW_REFRESH,STALE_VISIBLE,104,11644,33.8,0.03,0.0,1
content_383737c5080d,6.406937256275673,0.6345829708315261,NO_ACTION,FRESH_LOW_RISK,20,24252,23.0,0.29,1.12,1
content_a84bb3900115,6.402039884176269,0.6370347368107209,REVIEW_REFRESH,STALE_VISIBLE,104,23149,3.3,0.06,1.74,0
content_4d2a523dfda1,6.400271982389882,0.7138503542289378,NO_ACTION,FRESH_LOW_RISK,20,7830,2.4,0.1,0.0,1
content_8e7b754257df,6.399695095259639,0.5961774643835834,REVIEW_REFRESH,STALE_VISIBLE,104,45914,35.8,0.06,0.7,1
content_b5d1fbc91005,6.398075528254331,0.6294837699174017,REVIEW_REFRESH,STALE_VISIBLE,104,25951,24.3,0.06,0.56,1
content_4521b26bd5ff,6.395098293197941,0.6221284001353851,REVIEW_REFRESH,VISIBLE_STRIKING,20,29125,19.6,0.75,3.43,1
content_e64f06bdeadf,6.394682961130966,0.6747524749762813,NO_ACTION,FRESH_LOW_RISK,20,13056,2.7,0.29,0.0,1
content_f59522d6825f,6.386942923568262,0.6870999045435839,NO_ACTION,FRESH_LOW_RISK,20,10888,2.5,0.29,0.0,1
content_660ee321e2be,6.386867540754237,0.6532835346012437,REVIEW_REFRESH,STALE_VISIBLE,104,17615,36.3,0.05,1.69,1
content_a38dd531fd8f,6.384295795943326,0.636464887470979,REVIEW_REFRESH,STALE_VISIBLE,104,22716,6.5,0.01,12.0,1
content_cd57dbfcb318,6.383521303185877,0.6641386052747447,REVIEW_REFRESH,STALE_VISIBLE,104,14938,23.2,0.05,0.0,1
content_babdda75f3e4,6.382405903421655,0.677628729170485,NO_ACTION,FRESH_LOW_RISK,20,12316,25.7,0.04,1.15,0
content_47f8935f054c,6.380849812559699,0.7379570427084579,REVIEW_REFRESH,STALE_VISIBLE,104,5690,4.4,0.04,2.38,1
content_37890769a7b2,6.379479071158266,0.6733225312497791,REVIEW_REFRESH,STALE_VISIBLE,104,13024,29.1,0.03,0.62,1
content_5b7363bba2a0,6.378720891745491,0.689060421779738,NO_ACTION,FRESH_LOW_RISK,14,10478,22.4,0.13,0.0,1
content_ca4741e65ab8,6.377487648057677,0.7305218258021625,REVIEW_REFRESH,STALE_VISIBLE,104,6185,45.9,0.0,0.0,1
content_b08562686d22,6.374847159856437,0.801462189992507,REVIEW_REFRESH,STALE_VISIBLE,106,2846,2.0,0.14,0.0,1
content_26aaf62c0a5d,6.374612133303794,0.619124520299451,REVIEW_REFRESH,STALE_VISIBLE,104,29618,35.4,0.07,0.45,1
content_8160d36df806,6.374021643013576,0.6671325586702191,NO_ACTION,FRESH_LOW_RISK,20,14105,2.8,0.28,0.0,1
content_1d39fb731dff,6.372112485210997,0.7434240563234995,REVIEW_REFRESH,STALE_VISIBLE,104,5277,4.2,0.04,6.67,0
content_b554b5880edf,6.371071251010252,0.6725332900862407,REVIEW_REFRESH,STALE_VISIBLE,104,13006,37.4,0.04,0.0,1
content_ce8dacc2467b,6.366547758907393,0.6934470835843317,NO_ACTION,FRESH_LOW_RISK,20,9710,26.4,0.06,0.0,1
content_cd38ecad3e31,6.366424034503729,0.6399836635623167,REVIEW_REFRESH,STALE_VISIBLE,104,20905,5.3,0.08,0.0,1
content_b82f592415bc,6.366083021362731,0.6924012324988719,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,26,9839,27.7,0.01,0.48,1
content_febe6bc4e443,6.365642614368211,0.6524053620321986,NO_ACTION,FRESH_LOW_RISK,20,17277,29.9,0.24,2.27,1
content_f986bd514b6e,6.365564566442069,0.6353266137121235,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,20,22456,6.6,0.0,0.0,1
content_a2268e3cd5b0,6.364660417214584,0.6464024051210877,REVIEW_REFRESH,VISIBLE_STRIKING,26,18887,18.4,0.06,0.0,1
content_8c6cdc6b2e1e,6.3625479443959465,0.6596748440303066,REVIEW_REFRESH,STALE_VISIBLE,104,15443,2.9,0.14,3.45,1
content_a247759cb944,6.360986744705022,0.6793766217018278,REVIEW_REFRESH,STALE_VISIBLE,104,11648,33.2,0.03,0.49,1
content_b24c20d3108e,6.359714802552638,0.6286151048431622,REVIEW_REFRESH,VISIBLE_STRIKING,20,24760,14.4,0.15,1.5,1
content_987a0c9b0910,6.359670536623235,0.6673804467759318,REVIEW_REFRESH,STALE_VISIBLE,104,13756,27.6,0.04,0.0,1
content_9c2274f4eab3,6.359534832321113,0.638024409573112,NO_ACTION,FRESH_LOW_RISK,26,21322,29.8,0.09,1.56,1
content_20b906f1681d,6.359514184408533,0.6934470835843317,NO_ACTION,FRESH_LOW_RISK,20,9612,26.5,0.06,0.0,1
content_e913ab1f851a,6.357445769463804,0.706306233436702,NO_ACTION,FRESH_LOW_RISK,20,8110,2.4,0.14,0.0,0
content_bd765ab754cf,6.357396961283393,0.5689237452996203,REVIEW_REFRESH,VISIBLE_STRIKING,20,71283,17.2,0.08,1.27,0
content_fbfc0bffca5c,6.35271435457218,0.7173271271645938,NO_ACTION,FRESH_LOW_RISK,20,7016,1.9,0.2,0.0,1
content_7da14d2209fb,6.352275208057,0.6527292467768685,REVIEW_REFRESH,STALE_VISIBLE,104,16845,6.8,0.02,0.0,1
content_d244287970ee,6.351174835209073,0.6702862921318367,NO_ACTION,FRESH_LOW_RISK,20,13033,26.8,0.08,4.76,1
content_03c957094bba,6.348592017282384,0.6935494340663017,NO_ACTION,FRESH_LOW_RISK,20,9449,3.1,0.16,0.0,1
content_ccae0af6d8a7,6.348352859953645,0.620580976631175,NO_ACTION,FRESH_LOW_RISK,20,27713,20.8,0.78,0.0,1
content_568025b2e636,6.347866612874858,0.67865676225559,NO_ACTION,FRESH_LOW_RISK,14,11539,33.3,0.19,5.71,1
content_567c6448b441,6.34782058327922,0.682918161355635,REVIEW_REFRESH,STALE_VISIBLE,104,10884,35.1,0.04,0.0,1
content_e06389cec5c1,6.3466670180122895,0.6422512819647447,REVIEW_REFRESH,STALE_VISIBLE,104,19572,7.0,0.01,0.0,0
content_ab41b7f5e3cd,6.345333209238884,0.6912683090853146,NO_ACTION,FRESH_LOW_RISK,20,9693,27.6,0.07,0.0,1
content_f6fd768bd7d9,6.34465397189473,0.6792251314191634,NO_ACTION,FRESH_LOW_RISK,14,11395,28.9,0.2,11.54,1
content_39818a4e8846,6.34402620487939,0.7220986468705115,REVIEW_TITLE_META,LOW_CTR_OPPORTUNITY,20,6538,38.5,0.02,0.0,1
content_b115f7c74779,6.343624237048707,0.5410915746527462,REVIEW_REFRESH,STALE_VISIBLE_STRIKING,104,123469,8.0,0.03,2.33,0
content_410f8972935d,6.342643501684583,0.6677558199992946,REVIEW_REFRESH,STALE_VISIBLE,104,13338,3.4,0.13,5.56,1
content_72039d68836c,6.341920742056929,0.6406609804867629,REVIEW_REFRESH,STALE_VISIBLE,104,19910,28.7,0.06,0.16,1
content_86c98b7fffc0,6.340827684351833,0.6756972312767856,REVIEW_REFRESH,STALE_VISIBLE,104,11897,31.1,0.03,1.61,1
content_4e47036c4e87,6.34011565140506,0.6599590424727962,REVIEW_REFRESH,STALE_VISIBLE_STRIKING,104,14865,15.4,0.03,0.0,1
content_8ba781dafa55,6.339925879121664,0.6542677790512618,REVIEW_REFRESH,STALE_VISIBLE_STRIKING,104,16156,9.0,0.0,0.0,1
content_72fdb385e810,6.339672688251464,0.6422512819647447,REVIEW_REFRESH,STALE_VISIBLE,104,19360,6.9,0.01,0.0,0
